Zone,Allee,Deplacement,Niveau,longueur,largeur,hauteur,PoidsLimiteTotal,PoidsLimiteUnitaire,X,Y,Z,pictogramme,utilisateur,DateModif,DateCrea,Type1,Type2,Type3
S,3,1,1,40,24,38,20,,,,,,,,,,,
S,3,1,2,40,24,38,20,,,,,,,,,,,
S,3,1,3,40,24,38,20,,,,,,,,,,,
S,3,1,4,40,24,38,20,,,,,,,,,,,
S,3,1,5,40,24,38,20,,,,,,,,,,,
S,3,1,6,40,12,38,20,,,,,,,,,,,
S,3,1,7,40,12,38,20,,,,,,,,,,,
S,3,1,8,40,12,38,20,,,,,,,,,,,
S,3,1,9,40,12,38,20,,,,,,,,,,,
S,3,1,10,40,12,38,20,,,,,,,,,,,
S,3,2,1,40,24,38,20,,,,,,,,,,,
S,3,2,2,40,24,38,20,,,,,,,,,,,
S,3,2,3,40,24,38,20,,,,,,,,,,,
S,3,2,4,40,24,38,20,,,,,,,,,,,
S,3,2,5,40,24,38,20,,,,,,,,,,,
S,3,2,6,40,12,38,20,,,,,,,,,,,
S,3,2,7,40,12,38,20,,,,,,,,,,,
S,3,2,8,40,12,38,20,,,,,,,,,,,
S,3,2,9,40,12,38,20,,,,,,,,,,,
S,3,2,10,40,12,38,20,,,,,,,,,,,
S,3,3,1,40,24,38,20,,,,,,,,,,,
S,3,3,2,40,24,38,20,,,,,,,,,,,
S,3,3,3,40,24,38,20,,,,,,,,,,,
S,3,3,4,40,24,38,20,,,,,,,,,,,
S,3,3,5,40,24,38,20,,,,,,,,,,,
S,3,3,6,40,12,38,20,,,,,,,,,,,
S,3,3,7,40,12,38,20,,,,,,,,,,,
S,3,3,8,40,12,38,20,,,,,,,,,,,
S,3,3,9,40,12,38,20,,,,,,,,,,,
S,3,3,10,40,12,38,20,,,,,,,,,,,
S,3,4,1,40,24,38,20,,,,,,,,,,,
S,3,4,2,40,24,38,20,,,,,,,,,,,
S,3,4,3,40,24,38,20,,,,,,,,,,,
S,3,4,4,40,24,38,20,,,,,,,,,,,
S,3,4,5,40,24,38,20,,,,,,,,,,,
S,3,4,6,40,12,38,20,,,,,,,,,,,
S,3,4,7,40,12,38,20,,,,,,,,,,,
S,3,4,8,40,12,38,20,,,,,,,,,,,
S,3,4,9,40,12,38,20,,,,,,,,,,,
S,3,4,10,40,12,38,20,,,,,,,,,,,
S,3,5,1,40,24,38,20,,,,,,,,,,,
S,3,5,2,40,24,38,20,,,,,,,,,,,
S,3,5,3,40,24,38,20,,,,,,,,,,,
S,3,5,4,40,24,38,20,,,,,,,,,,,
S,3,5,5,40,24,38,20,,,,,,,,,,,
S,3,5,6,40,12,38,20,,,,,,,,,,,
S,3,5,7,40,12,38,20,,,,,,,,,,,
S,3,5,8,40,12,38,20,,,,,,,,,,,
S,3,5,9,40,12,38,20,,,,,,,,,,,
S,3,5,10,40,12,38,20,,,,,,,,,,,
S,3,6,1,40,24,38,20,,,,,,,,,,,
S,3,6,2,40,24,38,20,,,,,,,,,,,
S,3,6,3,40,24,38,20,,,,,,,,,,,
S,3,6,4,40,24,38,20,,,,,,,,,,,
S,3,6,5,40,24,38,20,,,,,,,,,,,
S,3,6,6,40,12,38,20,,,,,,,,,,,
S,3,6,7,40,12,38,20,,,,,,,,,,,
S,3,6,8,40,12,38,20,,,,,,,,,,,
S,3,6,9,40,12,38,20,,,,,,,,,,,
S,3,6,10,40,12,38,20,,,,,,,,,,,
S,3,7,1,40,24,38,20,,,,,,,,,,,
S,3,7,2,40,24,38,20,,,,,,,,,,,
S,3,7,3,40,24,38,20,,,,,,,,,,,
S,3,7,4,40,24,38,20,,,,,,,,,,,
S,3,7,5,40,24,38,20,,,,,,,,,,,
S,3,7,6,40,12,38,20,,,,,,,,,,,
S,3,7,7,40,12,38,20,,,,,,,,,,,
S,3,7,8,40,12,38,20,,,,,,,,,,,
S,3,7,9,40,12,38,20,,,,,,,,,,,
S,3,7,10,40,12,38,20,,,,,,,,,,,
S,3,8,1,40,24,38,20,,,,,,,,,,,
S,3,8,2,40,24,38,20,,,,,,,,,,,
S,3,8,3,40,24,38,20,,,,,,,,,,,
S,3,8,4,40,24,38,20,,,,,,,,,,,
S,3,8,5,40,24,38,20,,,,,,,,,,,
