Zone,Allee,Deplacement,Niveau,longueur,largeur,hauteur,PoidsLimiteTotal
B,54,1,70,97,400,40,500
B,54,2,10,97,400,82,500
B,54,2,20,97,400,82,500
B,54,2,30,97,400,82,500
B,54,2,40,97,400,82,500
B,54,2,50,97,400,40,500
B,54,2,60,97,400,40,500
B,54,2,70,97,400,40,500
B,54,3,0,97,400,77,500
B,54,3,10,97,400,82,500
B,54,3,20,97,400,82,500
B,54,3,30,97,400,82,500
B,54,3,40,97,400,82,500
C,55,1,0,120,90,120,1200
C,55,2,0,120,90,120,1200
C,55,3,0,120,90,120,1200
C,55,4,0,120,90,120,1200
C,55,5,0,120,90,120,1200
C,55,6,0,120,90,120,1200
C,55,7,0,120,90,120,1200
C,55,8,0,120,90,120,1200
C,55,9,0,120,90,120,1200
C,55,10,0,120,90,120,1200
C,55,11,0,120,90,120,1200
C,55,12,0,120,90,120,1200
D,27,602,1,120,110,117,2500
D,27,602,2,120,110,117,700
D,27,604,1,120,110,117,2500
D,27,604,2,120,110,117,700
D,27,2102,1,120,110,117,2500
D,27,2102,2,120,110,117,700
D,27,2104,1,120,110,117,2500
D,27,2104,2,120,110,117,700
D,28,101,1,240,53,40,100
D,28,101,2,240,53,40,100
D,28,101,3,240,53,40,100
D,28,101,4,240,53,66,100
D,28,102,1,240,53,40,100
D,28,102,2,240,53,40,100
D,28,102,3,240,53,40,100
D,28,102,4,240,53,66,100
D,28,103,1,240,53,40,100
D,28,103,2,240,53,40,100
D,28,103,3,240,53,40,100
D,28,103,4,240,53,66,100
D,28,104,1,240,53,40,100
D,28,104,2,240,53,40,100
D,28,104,3,240,53,40,100
D,28,104,4,240,53,66,100
D,28,105,1,240,53,40,100
D,28,105,2,240,53,40,100
D,28,105,3,240,53,40,100
D,28,105,4,240,53,66,100
D,28,106,1,240,53,40,100
D,28,106,2,240,53,40,100
D,28,106,3,240,53,40,100
D,28,106,4,240,53,66,100
D,28,107,1,240,53,40,100
D,28,107,2,240,53,40,100
D,28,107,3,240,53,40,100
D,28,107,4,240,53,66,100
D,28,108,1,240,53,40,100
D,28,108,2,240,53,40,100
D,28,108,3,240,53,40,100
D,28,108,4,240,53,66,100
D,28,109,1,240,53,40,100
D,28,109,2,240,53,40,100
D,28,109,3,240,53,40,100
D,28,109,4,240,53,66,100
D,28,110,1,240,53,40,100
D,28,110,2,240,53,40,100
D,28,110,3,240,53,40,100
D,28,110,4,240,53,66,100
D,28,111,1,240,53,40,100
D,28,111,2,240,53,40,100
D,28,111,3,240,53,40,100
D,28,111,4,240,53,66,100
D,28,112,1,240,53,40,100
D,28,112,2,240,53,40,100
D,28,112,3,240,53,40,100
D,28,112,4,240,53,66,100
D,28,201,1,240,53,40,100
D,28,201,2,240,53,40,100
D,28,201,3,240,53,40,100
B,54,1,0,97,400,77,500
B,54,1,10,97,400,82,500
B,54,1,20,97,400,82,500
B,54,1,30,97,400,82,500
B,54,1,50,97,400,40,500
B,54,1,60,97,400,40,500
D,28,201,4,240,53,66,100
D,28,202,1,240,53,40,100
D,28,202,2,240,53,40,100
D,28,202,3,240,53,40,100
D,28,202,4,240,53,66,100
D,28,203,1,240,53,40,100
D,28,203,2,240,53,40,100
D,28,203,3,240,53,40,100
D,28,203,4,240,53,66,100
D,28,204,1,240,53,40,100
D,28,204,2,240,53,40,100
D,28,204,3,240,53,40,100
D,28,204,4,240,53,66,100
D,28,205,1,240,53,40,100
D,28,205,2,240,53,40,100
D,28,205,3,240,53,40,100
D,28,205,4,240,53,66,100
D,28,206,1,240,53,40,100
D,28,206,2,240,53,40,100
D,28,206,3,240,53,40,100
D,28,206,4,240,53,66,100
D,28,207,1,240,53,40,100
D,28,207,2,240,53,40,100
D,28,207,3,240,53,40,100
D,28,207,4,240,53,66,100
D,28,208,1,240,53,40,100
D,28,208,2,240,53,40,100
D,28,208,3,240,53,40,100
D,28,208,4,240,53,66,100
D,28,209,1,240,53,40,100
D,28,209,2,240,53,40,100
D,28,209,3,240,53,40,100
D,28,209,4,240,53,66,100
D,28,210,1,240,53,40,100
D,28,210,2,240,53,40,100
D,28,210,3,240,53,40,100
D,28,210,4,240,53,66,100
D,28,211,1,240,53,40,100
D,28,211,2,240,53,40,100
D,28,211,3,240,53,40,100
D,28,211,4,240,53,66,100
D,28,212,1,240,53,40,100
D,28,212,2,240,53,40,100
D,28,212,3,240,53,40,100
D,28,212,4,240,53,66,100
D,28,301,1,240,53,40,100
D,28,301,2,240,53,40,100
D,28,301,3,240,53,40,100
D,28,301,4,240,53,66,100
D,28,302,1,240,53,40,100
D,28,302,2,240,53,40,100
D,28,302,3,240,53,40,100
D,28,302,4,240,53,66,100
D,28,303,1,240,53,40,100
D,28,303,2,240,53,40,100
D,28,303,3,240,53,40,100
D,28,304,1,240,53,40,100
D,28,304,2,240,53,40,100
D,28,304,3,240,53,40,100
D,28,304,4,240,53,66,100
D,28,305,1,240,53,40,100
D,28,305,2,240,53,40,100
D,28,305,3,240,53,40,100
D,28,305,4,240,53,66,100
D,28,306,1,240,53,40,100
D,28,306,2,240,53,40,100
D,28,306,3,240,53,40,100
D,28,306,4,240,53,66,100
D,28,307,1,240,53,40,100
D,28,307,2,240,53,40,100
D,28,307,3,240,53,40,100
D,28,307,4,240,53,66,100
D,28,308,1,240,53,40,100
D,28,308,2,240,53,40,100
D,28,308,3,240,53,40,100
D,28,308,4,240,53,66,100
D,28,309,1,240,53,40,100
D,28,309,2,240,53,40,100
D,28,309,3,240,53,40,100
D,28,309,4,240,53,66,100
D,28,310,1,240,53,40,100
D,28,310,2,240,53,40,100
D,28,310,3,240,53,40,100
D,28,310,4,240,53,66,100
D,28,311,1,240,53,40,100
D,28,311,2,240,53,40,100
D,28,311,3,240,53,40,100
D,28,311,4,240,53,66,100
D,28,312,1,240,53,40,100
D,28,312,2,240,53,40,100
D,28,312,3,240,53,40,100
D,28,312,4,240,53,66,100
D,28,401,2,240,53,40,100
D,28,401,3,240,53,40,100
D,28,401,4,240,53,66,100
D,28,402,1,240,53,40,100
D,28,402,2,240,53,40,100
D,28,402,3,240,53,40,100
D,28,402,4,240,53,66,100
D,28,403,1,240,53,40,100
D,28,403,2,240,53,40,100
D,28,403,3,240,53,40,100
D,28,403,4,240,53,66,100
D,28,404,1,240,53,40,100
D,28,404,2,240,53,40,100
D,28,404,3,240,53,40,100
D,28,404,4,240,53,66,100
D,28,405,1,240,53,40,100
D,28,405,2,240,53,40,100
D,28,405,3,240,53,40,100
D,28,405,4,240,53,66,100
D,28,406,2,240,53,40,100
D,28,406,3,240,53,40,100
D,28,406,4,240,53,66,100
D,28,407,1,240,53,40,100
D,28,407,2,240,53,40,100
D,28,407,3,240,53,40,100
D,28,407,4,240,53,66,100
D,28,408,1,240,53,40,100
D,28,408,2,240,53,40,100
D,28,408,3,240,53,40,100
D,28,408,4,240,53,66,100
D,28,409,1,240,53,40,100
D,28,409,2,240,53,40,100
D,28,409,3,240,53,40,100
D,28,409,4,240,53,66,100
D,28,410,1,240,53,40,100
D,28,410,2,240,53,40,100
D,28,410,3,240,53,40,100
D,28,410,4,240,53,66,100
D,28,411,1,240,53,40,100
D,28,411,2,240,53,40,100
D,28,411,3,240,53,40,100
D,28,411,4,240,53,66,100
D,28,412,1,240,53,40,100
D,28,412,2,240,53,40,100
D,28,412,3,240,53,40,100
D,28,412,4,240,53,66,100
D,28,501,1,240,53,40,100
D,28,501,2,240,53,40,100
D,28,501,3,240,53,40,100
D,28,501,4,240,53,66,100
D,28,502,1,240,53,40,100
D,28,502,2,240,53,40,100
D,28,502,3,240,53,40,100
D,28,502,4,240,53,66,100
D,28,503,2,240,53,40,100
D,28,503,3,240,53,40,100
D,28,503,4,240,53,66,100
D,28,504,1,240,53,40,100
D,28,504,2,240,53,40,100
D,28,504,3,240,53,40,100
D,28,504,4,240,53,66,100
D,28,505,1,240,53,40,100
D,28,505,2,240,53,40,100
D,28,505,3,240,53,40,100
D,28,505,4,240,53,66,100
D,28,506,1,240,53,40,100
D,28,506,2,240,53,40,100
D,28,506,3,240,53,40,100
D,28,506,4,240,53,66,100
D,28,507,1,240,53,40,100
D,28,507,2,240,53,40,100
D,28,507,3,240,53,40,100
D,28,507,4,240,53,66,100
D,28,508,1,240,53,40,100
D,28,508,2,240,53,40,100
D,28,508,3,240,53,40,100
D,28,508,4,240,53,66,100
D,28,509,1,240,53,40,100
D,28,509,2,240,53,40,100
D,28,509,3,240,53,40,100
D,28,509,4,240,53,66,100
D,28,510,1,240,53,40,100
D,28,510,2,240,53,40,100
D,28,510,3,240,53,40,100
D,28,510,4,240,53,66,100
D,28,511,1,240,53,40,100
D,28,511,2,240,53,40,100
D,28,511,3,240,53,40,100
D,28,511,4,240,53,66,100
D,28,512,1,240,53,40,100
D,28,512,2,240,53,40,100
D,28,512,3,240,53,40,100
D,28,512,4,240,53,66,100
D,28,601,1,120,110,117,2500
D,28,601,2,120,110,117,700
D,28,602,1,120,110,117,2500
D,28,602,2,120,110,117,700
D,28,603,1,120,110,117,2500
D,28,603,2,120,110,117,700
D,28,604,1,120,110,117,2500
D,28,604,2,120,110,117,700
D,28,701,1,240,53,40,100
D,28,701,2,240,53,40,100
D,28,701,3,240,53,40,100
D,28,701,4,240,53,66,100
D,28,702,1,240,53,40,100
D,28,702,2,240,53,40,100
D,28,702,3,240,53,40,100
D,28,702,4,240,53,66,100
D,28,703,1,240,53,40,100
D,28,703,2,240,53,40,100
D,28,703,3,240,53,40,100
D,28,703,4,240,53,66,100
D,28,704,1,240,53,40,100
D,28,704,2,240,53,40,100
D,28,704,3,240,53,40,100
D,28,704,4,240,53,66,100
D,28,705,1,240,53,40,100
D,28,705,2,240,53,40,100
D,28,705,3,240,53,40,100
D,28,705,4,240,53,66,100
D,28,706,1,240,53,40,100
D,28,706,2,240,53,40,100
D,28,706,3,240,53,40,100
D,28,706,4,240,53,66,100
D,28,707,1,240,53,40,100
D,28,707,2,240,53,40,100
D,28,707,3,240,53,40,100
D,28,707,4,240,53,66,100
D,28,708,1,240,53,40,100
D,28,708,2,240,53,40,100
D,28,708,3,240,53,40,100
D,28,708,4,240,53,66,100
D,28,709,1,240,53,40,100
D,28,709,2,240,53,40,100
D,28,709,3,240,53,40,100
D,28,709,4,240,53,66,100
D,28,710,1,240,53,40,100
D,28,710,2,240,53,40,100
D,28,710,3,240,53,40,100
D,28,710,4,240,53,66,100
D,28,711,1,240,53,40,100
D,28,711,2,240,53,40,100
D,28,711,3,240,53,40,100
D,28,711,4,240,53,66,100
D,28,712,1,240,53,40,100
D,28,712,2,240,53,40,100
D,28,712,3,240,53,40,100
D,28,712,4,240,53,66,100
D,28,801,1,240,53,40,100
D,28,801,2,240,53,40,100
D,28,801,3,240,53,40,100
D,28,801,4,240,53,66,100
D,28,802,1,240,53,40,100
D,28,802,2,240,53,40,100
D,28,802,3,240,53,40,100
D,28,802,4,240,53,66,100
D,28,803,1,240,53,40,100
D,28,803,2,240,53,40,100
D,28,803,3,240,53,40,100
D,28,803,4,240,53,66,100
D,28,804,1,240,53,40,100
D,28,804,2,240,53,40,100
D,28,804,3,240,53,40,100
D,28,804,4,240,53,66,100
D,28,805,1,240,53,40,100
D,28,805,2,240,53,40,100
D,28,805,3,240,53,40,100
D,28,805,4,240,53,66,100
D,28,806,1,240,53,40,100
D,28,806,2,240,53,40,100
D,28,806,3,240,53,40,100
D,28,806,4,240,53,66,100
D,28,807,1,240,53,40,100
D,28,807,2,240,53,40,100
D,28,807,3,240,53,40,100
D,28,807,4,240,53,66,100
D,28,808,1,240,53,40,100
D,28,808,2,240,53,40,100
D,28,808,3,240,53,40,100
D,28,808,4,240,53,66,100
D,28,809,1,240,53,40,100
D,28,809,2,240,53,40,100
D,28,809,3,240,53,40,100
D,28,809,4,240,53,66,100
D,28,810,1,240,53,40,100
D,28,810,2,240,53,40,100
D,28,810,3,240,53,40,100
D,28,810,4,240,53,66,100
D,28,811,1,240,53,40,100
D,28,811,2,240,53,40,100
D,28,811,3,240,53,40,100
D,28,811,4,240,53,66,100
D,28,812,1,240,53,40,100
D,28,812,2,240,53,40,100
D,28,812,3,240,53,40,100
D,28,812,4,240,53,66,100
D,28,901,1,240,53,40,100
D,28,901,2,240,53,40,100
D,28,901,3,240,53,40,100
D,28,901,4,240,53,66,100
D,28,902,1,240,53,40,100
D,28,902,2,240,53,40,100
D,28,902,3,240,53,40,100
D,28,902,4,240,53,66,100
D,28,903,1,240,53,40,100
