Zone;Allee;Deplacement;Niveau;EmplaPickingConcatenate;Circuit;TypePicking1;TypePicking2;ServiceUVC;ServiceSPCB;ServicePCB;Reference;SeuilDeclenchementReappro;QteMaximumAuPicking
B;54;1;70;B-054-0001-70;S3M;Longueur > 4M;Longueur -Cantilever > 3M;1.0;0.0;1.0;01887000055;12.0;54.0
B;54;2;10;B-054-0002-10;S3M;Longueur > 4M;Longueur -Cantilever > 3M;1.0;1.0;1.0;01887000016;36.0;180.0
B;54;2;20;B-054-0002-20;S3M;Longueur > 4M;Longueur -Cantilever > 3M;0.0;0.0;1.0;00013417932;1.0;6.0
B;54;2;30;B-054-0002-30;S3M;Longueur > 4M;Longueur -Cantilever > 3M;1.0;1.0;1.0;01887000316;4.0;32.0
B;54;2;40;B-054-0002-40;S3M;Longueur > 4M;Longueur -Cantilever > 3M;1.0;0.0;1.0;00015533501;1.0;12.0
B;54;2;50;B-054-0002-50;S3M;Longueur > 4M;Longueur -Cantilever > 3M;0.0;0.0;1.0;01434550900;3.0;100.0
B;54;2;60;B-054-0002-60;S3M;Longueur > 4M;Longueur -Cantilever > 3M;1.0;1.0;1.0;01434550920;2.0;20.0
B;54;2;70;B-054-0002-70;S3M;Longueur > 4M;Longueur -Cantilever > 3M;0.0;0.0;1.0;00001119610;1.0;14.0
B;54;3;0;B-054-0003-00;S3M;Longueur > 4M;Longueur -Cantilever > 3M;0.0;0.0;1.0;00001119594;1.0;4.0
B;54;3;10;B-054-0003-10;S3M;Longueur > 4M;Longueur -Cantilever > 3M;0.0;0.0;1.0;00001119604;1.0;6.0
B;54;3;20;B-054-0003-20;S3M;Longueur > 4M;Longueur -Cantilever > 3M;0.0;0.0;1.0;00055262568;1.0;4.0
B;54;3;30;B-054-0003-30;S3M;Longueur > 4M;Longueur -Cantilever > 3M;0.0;0.0;1.0;05204108158;4.0;40.0
B;54;3;40;B-054-0003-40;S3M;Longueur > 4M;Longueur -Cantilever > 3M;1.0;1.0;1.0;00015533502;1.0;3.0
C;55;1;0;C-055-0001-00;MAS;Hors gabarit;Non Convoyable - Masse;0.0;0.0;1.0;05594347204;450.0;4800.0
C;55;2;0;C-055-0002-00;MAS;Hors gabarit;Non Convoyable - Masse;0.0;0.0;1.0;05594026505;1000.0;6000.0
