Reference;QtePrepPrevueMoisEnCours;QtePrepPrevueMoisPlus1;QtePrepPrevueMoisPlus2
01887000055;0.0;6.0;0.0
01887000016;34.5;29.69;36.64
00013417932;0.0;0.95;0.0
01887000316;0.0;0.0;0.0
00015533501;2.55;2.85;2.0
01434550900;0.85;0.0;1.0
01434550920;0.85;0.95;1.0
00001119610;0.85;1.9;1.0
00001119594;0.85;1.9;0.0
00001119604;0.0;1.9;1.0
00055262568;4.0;0.0;4.0
05204108158;0.0;0.0;0.0
00015533502;0.85;0.95;1.0
05594347204;15487.09;12760.52;17480.44
05594026505;106394.48;87266.85;119121.49
00014000067;58331.98;47087.1;63460.74
05594031005;39989.26;32776.73;44716.09
05594026705;88004.73;72134.65;98413.46
05594001005;50970.58;41578.16;56509.31
05594031205;12197.31;9978.94;13594.09
05594000105;63508.89;51836.13;70483.53
00014003446;17875.29;14551.94;19745.88
05594001105;46935.2;38349.55;52189.5
05594031405;522.22;424.87;576.24
00014000070;38988.16;31677.01;42915.62
00425000625;1633.21;1391.5;1703.59
01887186758;11.36;11.18;11.04
05204316294;6.65;5.72;7.06
00354000251;5.89;5.13;6.4
00015422308;0.85;0.95;0.0
04937320852;0.0;0.0;0.0
04054602923;;;
08208328874;9.0;9.0;9.0
07914840338;122.81;94.52;110.8
01887692624;11.0;11.05;11.09
08276015013;23.02;17.88;22.29
08276014961;0.0;44.0;0.0
01294190003;106.8;90.51;110.33
00048000362;303.15;252.5;303.35
00030015027;10.62;10.62;10.62
00001067701;;;
01887070587;65.98;57.88;72.52
00127000550;1398.28;664.93;3155.47
07914000038;45.76;35.15;41.14
07914840130;18.66;14.32;16.74
06226117102;54.76;39.99;49.3
00073810146;210.35;181.0;223.38
01887199986;24.44;17.94;22.19
07074430592;0.0;0.0;0.0
00001187821;50.29;43.4;53.68
00001087062;34.93;25.18;30.7
00048000404;93.51;67.15;81.65
01887652884;2.55;3.8;4.0
00001100471;29.4;25.12;30.82
05083719250;40.98;35.56;44.17
00001102013;34.32;28.95;35.16
06426300335;72.24;53.27;66.16
00001157638;1042.09;903.33;1121.36
00001096413;18.07;15.14;18.29
07914000011;216.68;165.91;193.67
04937143090;0.0;6.5;0.0
00093370416;6788.07;5875.6;7285.28
00051060141;4.16;3.58;4.42
01887110028;234.93;171.86;212.13
05083719003;1014.05;740.07;911.74
00584057000;40.07;35.48;47.3
00081000740;10.37;8.64;10.37
00001089346;185.54;159.19;196.01
00020005013;20.86;18.09;22.47
00001194390;22.01;18.75;22.95
01887078923;20.87;18.14;22.57
00001194362;52.56;45.63;56.71
00011021019;15.82;13.38;16.29
00020047995;656.66;573.7;716.56
01887094341;23.37;19.97;24.5
00038364917;274.49;238.03;295.57
07914840144;0.0;0.0;0.0
07914840339;299.21;231.03;271.47
00001100629;4.49;3.57;4.12
00001100598;158.9;135.88;166.87
00001157671;122.96;106.1;131.22
00055004537;34.85;29.8;36.58
00001136174;51.04;117.52;40.75
00054066773;11.62;8.49;10.47
00046091247;2.33;0.0;0.0
01434550970;0.0;0.0;0.0
01434550910;0.85;0.95;0.0
01887000315;0.0;10.25;0.0
01434550620;0.85;0.0;0.0
00011090196;8.25;0.0;8.25
07915000040;0.0;0.0;0.0
00001032042;13594.49;11698.43;14437.77
04054536063;;;
00081506460;11.99;19.42;14.43
00015523323;22.63;6.23;62.32
00085011010;123.24;106.78;132.51
05204347267;84.21;73.69;97.32
04054528792;8.23;6.05;7.5
05083718044;9.73;5.85;15.23
01887945413;464.69;339.82;419.33
00770797192;1468.98;1293.24;1624.84
00001101962;142.07;120.96;148.0
00040495510;259.28;227.26;284.57
00048131200;491.74;428.52;534.15
00002036278;20.88;54.13;11.5
00255000037;49.04;36.18;44.97
