Reference;Designation;Gestion;HauteurUVC;LargeurUVC;LongueurUVC;PoidsUVC;QteSPCB;HauteurSPCB;LargeurSPCB;LongueurSPCB;PoidsSPCB;QtePCB;HauteurPCB;LargeurPCB;LongueurPCB;PoidsPCB;NbDeColisParCouche;NbDeCoucheParPalette;HauteurCouchePalette;TypeDeSupport;HauteurDuSupport;LargeurDuSupport;LongueurDuSupport;Pictogramme;PrixUnitaire;NFournisseur;NomFournisseur;FamilleDeProduit1;FamilleDeProduit2;FamilleDeProduit3;RefFournisseur
01887000055;ELEM. DR. 40A 3L N PE 3 FEN.;STD;2.5;4.5;315.0;2.5;0.0;0.0;0.0;0.0;0.0;6.0;10.5;10.5;318.0;17.0;3.0;3.0;11.0;TLE;15.0;300.0;120.0;;58.025;1887.0;Schneider;Test1;Test2;Test3;KBA40ED4303W
01887000016;ELEM. DR. 25A 3L N PE 3 FEN.;STD;3.0;4.0;315.0;2.62;0.0;0.0;0.0;0.0;0.0;6.0;10.0;11.0;320.0;16.34;6.0;5.0;10.0;TLE;15.0;300.0;120.0;;43.327;1887.0;Schneider;;;;KBA25ED4303W
00013417932;COLONNE 2CPTS 3,92M ALU;STD;10.0;10.0;10.0;0.001;0.0;0.0;0.0;0.0;0.0;1.0;14.0;16.0;418.0;12.0;3.0;2.0;14.0;TLE;15.0;300.0;120.0;;329.976;13.0;;;;;PW32322
01887000316;ELEM.DR.40A- 3M 6 FENETRES;STD;10.0;4.0;310.0;5.9;0.0;0.0;0.0;0.0;0.0;4.0;11.0;14.0;314.0;15.29;4.0;2.0;11.0;TLE;15.0;300.0;120.0;;135.292;1887.0;Schneider;;;;KNA40ED4306
00015533501;T 125 AF;STD;13.0;13.0;300.0;0.4;0.0;0.0;0.0;0.0;0.0;1.0;13.0;13.0;300.0;5.2;6.0;9.0;13.0;TLE;15.0;300.0;300.0;;19.034;15.0;;;;;533501
01434550900;ERIFLEX PCB-4M-50X10;STD;1.0;5.0;410.0;17.8;0.0;0.0;0.0;0.0;0.0;1.0;1.0;5.0;410.0;17.8;10.0;10.0;1.0;TLE;15.0;300.0;120.0;;274.964;3058.0;;;;;550900
01434550920;ERIFLEX PCB-4M-80X10;STD;1.0;8.0;410.0;28.5;0.0;0.0;0.0;0.0;0.0;1.0;1.0;8.0;410.0;28.5;10.0;10.0;1.0;STD;15.0;80.0;120.0;;440.28;3058.0;;;;;550920
00001119610;COLONNE 4 CPTS 45 3,3M BLANC;STD;16.0;20.0;347.0;9.5;0.0;0.0;0.0;0.0;0.0;1.0;16.0;20.0;347.0;12.0;4.0;5.0;16.0;TLE;15.0;300.0;120.0;;399.057;1.0;Legrand;;;;653050
00001119594;COLONNE 1 CPT CV45 3,92M BLANC;STD;13.0;15.0;418.0;11.5;0.0;0.0;0.0;0.0;0.0;1.0;13.0;15.0;418.0;11.5;3.0;2.0;14.0;TLE;15.0;300.0;120.0;;276.279;1.0;Legrand;;;;653013
00001119604;COLONNE 2 CPTS 45 3,9M BLANC;STD;14.0;17.0;420.0;13.5;0.0;0.0;0.0;0.0;0.0;1.0;14.0;17.0;420.0;13.5;4.0;2.0;14.0;TLE;15.0;300.0;120.0;;307.002;1.0;Legrand;;;;653033
00055262568;CLS-C45 2F-3033 A COLONNE STD;STD;16.0;18.0;354.0;14.502;0.0;0.0;0.0;0.0;0.0;1.0;16.0;18.0;354.0;14.502;3.0;3.0;16.0;TLE;15.0;300.0;120.0;;320.853;55.0;;;;;B45322
05204108158;LL234X 160S/840 2X PSU WB 5X1.;STD;10.0;10.0;10.0;0.001;0.0;0.0;0.0;0.0;0.0;1.0;6.0;10.0;361.0;5.85;8.0;1.0;6.0;TLE;15.0;300.0;120.0;;215.34;5204.0;;;;;108158
00015533502;T 160 AF;STD;16.0;16.0;305.0;2.0;0.0;0.0;0.0;0.0;0.0;9.0;50.0;50.0;305.0;21.0;1.0;1.0;50.0;TLE;15.0;300.0;300.0;;19.373;15.0;;;;;533502
05594347204;CUIVRE NU 25 C50;STD;1.0;1.0;1.0;0.222;0.0;0.0;0.0;0.0;0.0;50.0;10.0;40.0;40.0;11.114;6.0;16.0;5.0;STD;15.0;80.0;120.0;;2.665;5594.0;;;;;000122
05594026505;R2V 3G1,5 C100;STD;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;100.0;9.0;37.0;37.0;11.87;8.0;6.0;9.0;STD;15.0;80.0;120.0;;0.65;5594.0;;;;;026505
00014000067;NEXANS R2V NX TAG 3G1.5 R100;STD;1.0;1.0;1.0;0.001;0.0;0.0;0.0;0.0;0.0;100.0;10.0;38.0;38.0;9.198;6.0;7.0;10.0;STD;15.0;80.0;120.0;;0.663;14.0;;;;;01273188
05594031005;R2V 5G1,5 C100;STD;10.0;10.0;10.0;0.148;0.0;0.0;0.0;0.0;0.0;100.0;12.0;38.0;38.0;14.8;6.0;6.0;14.0;STD;15.0;80.0;120.0;;1.047;5594.0;;;;;031005
05594026705;R2V 3G2,5 C100;STD;1.0;1.0;1.0;0.001;0.0;0.0;0.0;0.0;0.0;100.0;11.0;40.0;40.0;15.78;6.0;7.0;11.0;STD;15.0;80.0;120.0;;1.004;5594.0;;;;;026705
05594001005;H07VU 2,5 V/J C100;STD;10.0;10.0;10.0;0.029;0.0;0.0;0.0;0.0;0.0;100.0;5.0;24.0;24.0;2.964;15.0;15.0;4.0;STD;15.0;80.0;120.0;;0.283;5594.0;;;;;001005
05594031205;R2V 5G2,5 C100;STD;10.0;10.0;10.0;0.2;0.0;0.0;0.0;0.0;0.0;100.0;15.0;38.0;38.0;20.0;6.0;5.0;14.5;STD;15.0;80.0;120.0;;1.643;5594.0;;;;;031205
05594000105;H07VU 1,5 V/J C100;STD;1.0;1.0;1.0;0.018;100.0;5.0;30.0;30.0;1.837;100.0;5.0;30.0;30.0;1.837;15.0;15.0;4.0;STD;15.0;80.0;120.0;;0.179;5594.0;;;;;000105
00014003446;NEXANS R2V NX TAG 5G1.5 R100;STD;1.0;1.0;1.0;0.15;0.0;0.0;0.0;0.0;0.0;100.0;16.0;38.0;38.0;15.0;6.0;5.0;14.0;STD;15.0;80.0;120.0;;1.07;14.0;;;;;01273197
05594001105;H07VU 2,5 ROUGE C100;STD;1.0;1.0;1.0;0.001;0.0;10.0;20.0;30.0;2.887;100.0;5.0;24.0;24.0;2.887;15.0;15.0;5.0;STD;15.0;80.0;120.0;;0.283;5594.0;;;;;001105
05594031405;R2V 5G4 C100;STD;1.0;1.0;1.0;0.001;0.0;0.0;0.0;0.0;0.0;100.0;16.6;40.0;40.0;30.0;6.0;6.0;20.0;STD;15.0;80.0;120.0;;2.703;5594.0;;;;;031405
00014000070;NEXANS R2V NX TAG 3G2.5 R100;STD;1.0;1.0;1.0;0.001;0.0;0.0;0.0;0.0;0.0;100.0;12.0;40.0;40.0;13.33;6.0;6.0;15.0;STD;15.0;80.0;120.0;;1.014;14.0;;;;;01273191
00425000625;COLLIERS UV EXT-INT 4,8X287;STD;1.0;1.0;38.0;0.001;100.0;1.0;12.0;38.0;0.2;1000.0;13.0;17.0;40.0;2.18;10.0;10.0;13.0;STD;15.0;80.0;120.0;;0.053;425.0;;;;;2247-0
01887186758;LIAIS.JDBV NSX100/250 DEBRO 4P;STD;12.8;21.1;30.7;1.552;0.0;0.0;0.0;0.0;0.0;1.0;12.8;21.1;30.7;1.552;2.0;1.0;30.0;STD;15.0;80.0;120.0;;104.35;1887.0;Schneider;;;;LVS04432
