Reference,NbReceptionDerniersMois,QteReceptionneeDerniersMois,NbReceptionMois2,QteReceptionneeMois2,NbReceptionMois3,QteReceptionneeMois3
REF-136527,1,309,3,253,1,171
REF-119161,8,4200,13,3762,10,4330
REF-142184,11,3274,11,4132,8,2374
REF-143538,38,4971,62,3867,19,2529
REF-114641,9,2604,7,2165,2,1191
REF-126968,55,2918,7,2712,9,2878
REF-118370,4,1117,2,1342,8,753
REF-146689,1,39,1,21,1,12
REF-134985,4,1174,2,883,2,1111
REF-143507,33,3105,8,2369,8,1999
REF-106532,8,4205,16,2900,28,2576
REF-118105,10,4483,16,4229,10,2715
REF-135563,10,4703,15,5343,12,6053
REF-145161,7,1686,2,955,11,602
REF-103910,8,712,1,601,1,603
REF-134903,1,480,1,272,1,184
REF-115239,5,373,2,468,1,588
REF-120028,11,3685,9,2826,15,2611
REF-123416,6,2708,11,2131,9,2264
REF-124667,12,4810,9,4103,12,5154
REF-139368,30,4509,14,4961,12,5862
REF-139614,7,2608,7,3051,16,3863
REF-139843,10,1557,11,1211,2,788
REF-100816,5,2577,10,2676,3,1628
REF-104160,1,707,1,905,1,508
REF-122194,1,320,4,375,2,477
REF-104744,40,2707,21,2722,6,2480
REF-137063,4,1094,12,1260,2,1001
REF-114506,18,2267,6,2120,10,2353
REF-102741,28,2225,5,1713,16,1946
REF-141777,1,43,1,37,1,31
REF-106528,8,3205,19,3826,7,2833
REF-129228,10,1480,2,801,1,556
REF-104340,1,275,1,186,1,177
REF-113613,5,2077,8,1750,2,949
REF-117510,10,4230,36,3288,6,2438
REF-147749,11,2760,5,2524,7,3143
REF-128177,2,1092,1,587,1,743
REF-134630,6,1129,2,1009,3,1039
REF-138865,16,4996,32,3695,20,3654
REF-134145,1,120,1,63,1,46
REF-112178,16,3082,23,3277,8,2038
REF-118575,9,4466,22,5245,14,6094
REF-121520,9,2250,17,1909,4,1968
REF-143389,8,1663,7,1735,4,1893
REF-109711,2,896,2,1125,3,1245
REF-108902,25,4949,11,5083,9,2670
REF-127263,10,3065,9,2138,9,2664
REF-102546,5,2466,7,1451,3,1175
REF-103213,75,4966,84,5090,16,5956
REF-109666,2,1337,2,1011,2,723
REF-107578,10,2827,11,2733,3,1442
REF-130466,29,2692,42,2852,10,3191
REF-117928,1,616,2,737,1,544
REF-111565,5,1117,1,817,3,1035
REF-144782,7,3378,15,3685,4,1844
REF-115034,17,3425,15,1999,17,2201
REF-103043,15,3780,47,3858,49,3692
